dest_id_city,city_name,address_streetAddress,address_addressLocality,address_addressRegion,address_type,address_postalCode,address_addressCountry
900051199,Tafuna,"999 Ottoville Road, 96799 Tafuna, American Samoa",999 Ottoville Road,Tutuila Island,PostalAddress,96799,American Samoa
900051199,Tafuna,"999 Ottoville Road, 96799 Tafuna, American Samoa",999 Ottoville Road,Tutuila Island,PostalAddress,96799,American Samoa
900050817,Meads Bay,"Barnes Bay, AI-2640 Meads Bay, Anguilla",Barnes Bay,,PostalAddress,AI-2640,Anguilla
-1393175,Shoal Bay Village,"Shoal Bay East, NA AI-2640 Shoal Bay Village, Anguilla",Shoal Bay East,,PostalAddress,NA AI-2640,Anguilla
-1393201,West End Village,"Maundays Bay, AI-2640 West End Village, Anguilla",Maundays Bay,,PostalAddress,AI-2640,Anguilla
900050817,Meads Bay,"Meads Bay, AI-2640 Meads Bay, Anguilla",Meads Bay,,PostalAddress,AI-2640,Anguilla
-1393175,Shoal Bay Village,"P.O Box 81 Shoal Bay East, AI-2640 Shoal Bay Village, Anguilla",P.O Box 81 Shoal Bay East,,PostalAddress,AI-2640,Anguilla
900050817,Meads Bay,"Malliouhana, Long Bay Village, AI-2640 Meads Bay, Anguilla","Malliouhana, Long Bay Village",,PostalAddress,AI-2640,Anguilla
900050817,Meads Bay,"P.O. Box 200, AI-2640 Meads Bay, Anguilla",P.O. Box 200,,PostalAddress,AI-2640,Anguilla
-1393191,The Valley,"North Hill, AI-2640 The Valley, Anguilla",North Hill,,PostalAddress,AI-2640,Anguilla
900050817,Meads Bay,"Meads Bay Beach, AI-2640 Meads Bay, Anguilla",Meads Bay Beach,,PostalAddress,AI-2640,Anguilla
-1393093,Ebenezer,"Rendezvous Bay, AI-2640 Ebenezer, Anguilla",Rendezvous Bay,,PostalAddress,AI-2640,Anguilla
-1393180,South Hill Village,"Backstreet, AI-2640 South Hill Village, Anguilla",Backstreet,,PostalAddress,AI-2640,Anguilla
-1393069,Blowing Point Village,"Cul De Sac Rd, Sandy Point Blowing Point, AI-2640 Blowing Point Village, Anguilla","Cul De Sac Rd, Sandy Point Blowing Point",,PostalAddress,AI-2640,Anguilla
-1393191,The Valley,"The Forest, The Valley, Anguilla",The Forest,,PostalAddress,,Anguilla
-1393197,Welches Hill,"Jonah Hill, AI-2640 Welches Hill, Anguilla",Jonah Hill,,PostalAddress,AI-2640,Anguilla
-1393069,Blowing Point Village,"Cul De Sac Rd, AI-2640 Blowing Point Village, Anguilla",Cul De Sac Rd,,PostalAddress,AI-2640,Anguilla
-1393092,East End Village,"1street Island Harbour Anguilla Apartment 2, AI-2640 East End Village, Anguilla",1street Island Harbour Anguilla Apartment 2,,PostalAddress,AI-2640,Anguilla
-1393158,Sandy Ground Village,"South Hill, AI-2640 Sandy Ground Village, Anguilla",South Hill,,PostalAddress,AI-2640,Anguilla
-1393175,Shoal Bay Village,"Shoal Bay East, AI-2640 Shoal Bay Village, Anguilla",Shoal Bay East,,PostalAddress,AI-2640,Anguilla
-1393125,Long Bay Village,"South Hill, AI-2640 Long Bay Village, Anguilla",South Hill,,PostalAddress,AI-2640,Anguilla
-1393158,Sandy Ground Village,"South Hill, AI-2640 Sandy Ground Village, Anguilla",South Hill,,PostalAddress,AI-2640,Anguilla
-1393175,Shoal Bay Village,"Shoal Bay East, AI-2640 Shoal Bay Village, Anguilla",Shoal Bay East,,PostalAddress,AI-2640,Anguilla
-1393125,Long Bay Village,"South Hill, AI-2640 Long Bay Village, Anguilla",South Hill,,PostalAddress,AI-2640,Anguilla
-3378435,Kabul,"Kabul Serena Hotel, Froshgah Street, Kabul, Afghanistan, 1001 Kabul, Afghanistan","Kabul Serena Hotel, Froshgah Street, Kabul, Afghanistan",Kabul Province,PostalAddress,1001,Afghanistan
-3377359,Herāt,"Bagh-e-Azadi Street opp Herat University, Herat Afghanistan, 3001 Herāt, Afghanistan","Bagh-e-Azadi Street opp Herat University, Herat Afghanistan",,PostalAddress,3001,Afghanistan
-3392545,Shīrpūr,"Zanbaq Squarem Square, Ankara Street, Opposite of Turkish Embassy, Shīrpūr, Afghanistan","Zanbaq Squarem Square, Ankara Street, Opposite of Turkish Embassy",Kabul Province,PostalAddress,,Afghanistan
-3378435,Kabul,"Apartment 2-2, Azizi Tower Ansari Square, Share-naw, 1003 Kabul, Afghanistan","Apartment 2-2, Azizi Tower Ansari Square, Share-naw",Kabul Province,PostalAddress,1003,Afghanistan
-3378435,Kabul,"Ansari Square Shahre-naw, Kabul, 1003 Kabul, Afghanistan","Ansari Square Shahre-naw, Kabul",Kabul Province,PostalAddress,1003,Afghanistan
-3378435,Kabul,"Apartment 2-2, Azizi Tower Ansari Square, Share-naw, 1003 Kabul, Afghanistan","Apartment 2-2, Azizi Tower Ansari Square, Share-naw",Kabul Province,PostalAddress,1003,Afghanistan
