dest_id,country_name,number_listings,url_link
1,Afghanistan,5,https://www.booking.com/searchresults.en-gb.html?aid=304142&sb=1&ac_langcode=en&dest_id=1&dest_type=country
2,Albania,4097,https://www.booking.com/searchresults.en-gb.html?aid=304142&sb=1&ac_langcode=en&dest_id=2&dest_type=country
3,Algeria,136,https://www.booking.com/searchresults.en-gb.html?aid=304142&sb=1&ac_langcode=en&dest_id=3&dest_type=country
4,American Samoa,1,https://www.booking.com/searchresults.en-gb.html?aid=304142&sb=1&ac_langcode=en&dest_id=4&dest_type=country
5,Andorra,662,https://www.booking.com/searchresults.en-gb.html?aid=304142&sb=1&ac_langcode=en&dest_id=5&dest_type=country
6,Angola,30,https://www.booking.com/searchresults.en-gb.html?aid=304142&sb=1&ac_langcode=en&dest_id=6&dest_type=country
7,Anguilla,19,https://www.booking.com/searchresults.en-gb.html?aid=304142&sb=1&ac_langcode=en&dest_id=7&dest_type=country
9,Antigua & Barbuda,104,https://www.booking.com/searchresults.en-gb.html?aid=304142&sb=1&ac_langcode=en&dest_id=9&dest_type=country
10,Argentina,14423,https://www.booking.com/searchresults.en-gb.html?aid=304142&sb=1&ac_langcode=en&dest_id=10&dest_type=country
11,Armenia,1704,https://www.booking.com/searchresults.en-gb.html?aid=304142&sb=1&ac_langcode=en&dest_id=11&dest_type=country
12,Aruba,377,https://www.booking.com/searchresults.en-gb.html?aid=304142&sb=1&ac_langcode=en&dest_id=12&dest_type=country
13,Australia,28393,https://www.booking.com/searchresults.en-gb.html?aid=304142&sb=1&ac_langcode=en&dest_id=13&dest_type=country
14,Austria,28328,https://www.booking.com/searchresults.en-gb.html?aid=304142&sb=1&ac_langcode=en&dest_id=14&dest_type=country
15,Azerbaijan,973,https://www.booking.com/searchresults.en-gb.html?aid=304142&sb=1&ac_langcode=en&dest_id=15&dest_type=country
16,Bahamas,272,https://www.booking.com/searchresults.en-gb.html?aid=304142&sb=1&ac_langcode=en&dest_id=16&dest_type=country
17,Bahrain,155,https://www.booking.com/searchresults.en-gb.html?aid=304142&sb=1&ac_langcode=en&dest_id=17&dest_type=country
18,Bangladesh,345,https://www.booking.com/searchresults.en-gb.html?aid=304142&sb=1&ac_langcode=en&dest_id=18&dest_type=country
19,Barbados,420,https://www.booking.com/searchresults.en-gb.html?aid=304142&sb=1&ac_langcode=en&dest_id=19&dest_type=country
20,Belarus,3002,https://www.booking.com/searchresults.en-gb.html?aid=304142&sb=1&ac_langcode=en&dest_id=20&dest_type=country
21,Belgium,11067,https://www.booking.com/searchresults.en-gb.html?aid=304142&sb=1&ac_langcode=en&dest_id=21&dest_type=country
22,Belize,474,https://www.booking.com/searchresults.en-gb.html?aid=304142&sb=1&ac_langcode=en&dest_id=22&dest_type=country
23,Benin,130,https://www.booking.com/searchresults.en-gb.html?aid=304142&sb=1&ac_langcode=en&dest_id=23&dest_type=country
